0.5,0,25,3,4,1,2,1,30,2
0.5,1,23,13,2,3,2,49,16,1
0.5,1,21,18,2,1,3,12,32,1
0.5,0,27,15,0,0,2,43,33,2
0.5,0,25,9,0,3,3,22,40,0
1.0,0,23,15,3,1,0,36,31,2
0.5,1,28,9,0,1,0,21,26,0
1.0,1,25,6,2,0,0,45,36,2
0.5,0,23,8,0,2,2,10,13,0
1.0,1,25,7,1,0,0,6,21,0
1.0,0,21,12,0,0,2,7,7,1
0.5,1,28,8,0,3,1,33,6,0
0.5,1,28,5,4,2,0,4,19,2
0.5,1,28,6,3,1,1,49,32,0
1.0,0,22,0,0,0,3,3,19,0
0.5,0,28,11,1,2,0,18,12,2
0.5,1,20,10,4,0,0,16,6,2
0.5,1,23,6,3,1,3,3,46,0
1.0,0,29,10,4,3,0,50,21,0
0.5,0,21,7,0,3,0,20,46,1
0.5,1,21,11,2,3,2,6,0,1
0.5,0,20,10,1,2,3,25,2,1
0.5,0,23,11,0,0,2,18,12,0
1.0,0,28,16,2,0,2,43,22,2
0.5,1,27,8,3,0,0,23,19,2
1.0,1,21,10,3,0,1,21,45,1
0.5,0,22,12,0,1,3,27,6,2
1.0,0,27,6,2,2,1,42,33,2
0.5,0,24,3,4,2,0,44,29,1
0.5,0,24,0,2,0,1,41,8,1
0.5,1,22,15,4,0,3,48,23,1
1.0,0,22,5,2,0,2,16,18,0
0.5,1,20,4,3,0,3,8,15,1
0.5,1,24,18,1,2,0,14,5,1
0.5,1,24,5,0,0,3,15,32,2
0.5,1,28,17,1,1,3,31,13,0
1.0,0,22,5,3,0,0,6,28,0
1.0,1,27,0,0,1,0,28,24,0
0.5,1,23,17,2,3,3,31,18,2
0.5,0,27,2,1,0,0,15,29,2
1.0,0,28,15,3,3,0,35,31,1
0.5,0,21,14,2,0,1,45,34,0
0.5,1,26,14,4,1,0,10,33,1
0.5,0,29,5,0,0,0,36,1,1
1.0,0,26,13,2,0,0,40,2,0
1.0,1,21,9,2,1,0,23,44,1
1.0,1,29,18,4,1,1,14,29,2
0.5,1,21,14,3,1,1,47,32,0
1.0,1,23,4,3,0,2,23,3,1
0.5,1,28,2,0,0,0,33,34,2
1.0,1,22,5,1,0,0,40,19,1
0.5,0,26,18,2,2,3,4,46,0
1.0,0,20,8,4,0,1,3,29,2
0.5,0,22,7,1,2,2,32,38,2
0.5,0,22,1,1,0,3,12,37,1
0.5,1,24,15,4,2,3,12,37,0
1.0,1,23,1,4,0,2,13,37,1
0.5,0,22,9,1,2,0,18,41,2
0.5,1,26,0,4,1,3,24,21,2
0.5,0,27,5,2,2,3,46,2,1
1.0,1,24,7,2,3,3,17,17,0
0.5,0,26,1,1,1,3,0,45,1
1.0,1,26,3,0,0,1,18,22,2
1.0,1,24,6,1,2,2,6,29,1
1.0,1,24,9,4,0,2,32,10,0
0.5,0,29,8,2,0,3,26,43,1
1.0,0,21,17,2,1,3,4,21,0
1.0,1,22,14,4,0,3,0,40,2
0.5,0,28,10,0,0,0,34,21,0
0.5,1,29,0,0,0,0,4,30,2
0.5,1,22,9,1,2,0,45,13,2
1.0,1,20,15,2,1,0,8,16,2
0.5,0,24,8,2,3,0,3,8,1
0.5,0,22,11,4,1,1,35,5,0
0.5,1,27,11,1,0,0,15,39,0
0.5,1,25,8,1,1,2,22,36,0
0.5,1,23,9,3,3,0,38,27,2
0.5,0,29,9,0,0,1,38,29,1
0.5,0,23,6,3,3,0,38,40,0
0.5,1,28,16,2,3,0,6,25,2
1.0,1,26,3,4,0,0,22,46,2
0.5,1,28,3,1,1,3,3,6,0
0.5,0,27,8,0,3,1,8,40,2
1.0,1,22,13,2,2,0,19,10,1
0.5,0,25,1,0,3,3,34,10,0
0.5,1,20,8,4,3,1,22,33,1
0.5,0,25,11,2,0,0,1,22,1
0.5,0,22,5,0,0,2,28,2,2
0.5,0,23,14,4,1,3,42,14,1
0.5,0,24,0,4,3,1,7,8,0
1.0,0,24,2,3,1,0,45,31,1
1.0,1,29,3,1,0,0,11,3,1
0.5,1,28,17,0,0,0,38,41,2
1.0,1,24,1,0,2,1,0,12,2
1.0,1,20,6,3,0,0,16,26,2
1.0,1,27,15,4,0,0,22,5,2
1.0,0,29,16,4,2,0,12,5,1
0.5,1,24,10,1,1,0,47,25,1
0.5,1,28,16,0,1,2,2,4,0
0.5,1,25,10,2,0,3,39,5,2
0.5,0,23,9,3,1,2,24,21,0
0.5,1,20,8,1,1,0,29,6,1
1.0,1,26,8,0,1,3,9,2,0
0.5,0,28,7,1,1,0,49,24,2
1.0,1,27,0,3,1,1,29,26,0
0.5,1,20,4,3,0,2,34,40,2
0.5,0,25,15,0,1,0,28,10,2
0.5,0,24,15,4,0,0,40,5,2
1.0,1,25,7,2,1,1,2,39,2
0.5,1,26,17,4,0,2,1,9,1
1.0,1,27,3,4,1,1,38,14,0
0.5,1,26,10,2,0,0,18,8,0
1.0,1,27,13,4,1,1,32,6,0
0.5,0,26,18,0,3,0,40,20,1
0.5,1,21,12,3,3,0,33,31,2
0.5,1,28,16,1,3,0,29,38,0
0.5,0,29,7,0,0,2,3,0,2
0.5,0,24,2,2,0,2,21,8,0
0.5,0,20,2,0,1,1,35,39,0
0.5,1,27,7,2,0,1,43,27,2
1.0,0,24,13,4,2,3,29,46,2
0.5,1,21,4,3,2,0,46,44,1
1.0,1,29,8,1,1,0,50,29,0
1.0,1,23,17,2,3,0,45,46,1
0.5,0,20,5,4,0,1,32,5,0
1.0,1,28,6,2,0,1,45,18,2
1.0,0,26,4,1,3,3,12,24,0
0.5,1,24,9,2,1,1,37,27,1
1.0,0,28,17,0,1,0,47,10,2
1.0,0,24,6,1,0,0,16,45,0
0.5,1,24,4,2,0,0,24,21,2
0.5,1,27,2,4,1,1,1,4,2
0.5,1,21,12,0,0,0,25,28,1
0.5,1,27,3,2,1,0,38,20,2
0.5,0,27,2,1,1,1,20,27,0
0.5,0,24,16,1,1,0,12,23,1
1.0,0,25,8,1,0,0,48,38,2
0.5,1,22,16,2,0,2,45,17,2
1.0,0,23,6,1,1,2,10,28,2
0.5,0,27,11,2,2,0,22,18,1
0.5,1,25,18,0,0,2,2,18,1
0.5,0,28,4,4,2,0,22,0,0
0.5,0,24,6,0,1,0,10,4,0
0.5,1,21,8,2,0,2,35,42,1
0.5,0,23,16,1,1,1,13,47,1
0.5,1,23,3,2,1,0,34,4,1
0.5,0,26,9,0,0,1,11,17,0
0.5,1,20,14,1,0,3,28,37,0
1.0,0,21,8,2,1,0,9,37,0
0.5,0,28,10,1,1,3,21,3,0
